year,month,day,hour,minute,institution,value
2024,1,6,22,38,Sharesies,13087.74
2024,1,6,22,38,Kernel Wealth,28077.64
2024,1,6,22,38,Stake,7094.16
2024,1,6,22,38,InvestNow,24361.17
2024,1,7,11,11,Sharesies,13087.74
2024,1,7,11,11,Kernel Wealth,28077.64
2024,1,7,11,27,Sharesies,13087.74
2024,1,7,11,27,Kernel Wealth,28077.64
2024,1,7,11,27,Stake,7129.56
2024,1,7,11,27,InvestNow,24361.17
2024,1,7,16,2,Sharesies,13087.74
2024,1,7,16,2,Kernel Wealth,28077.64
2024,1,7,16,2,Stake,7129.56
2024,1,7,16,2,InvestNow,24361.17
2024,1,8,11,11,Sharesies,13084.43
2024,1,8,11,11,Kernel Wealth,28077.64
2024,1,8,11,11,Stake,7129.56
2024,1,8,11,11,InvestNow,24317.09
2024,1,9,8,51,Sharesies,13150.7
2024,1,9,8,51,Kernel Wealth,28077.64
2024,1,9,8,52,Stake,7352.8
2024,1,9,8,59,Sharesies,13151.15
2024,1,9,8,59,Kernel Wealth,28077.64
2024,1,9,8,59,Stake,7354.91
2024,1,9,8,59,InvestNow,24283.29
2024,1,9,8,59,InvestNow,24283.29
2024,1,9,9,6,Sharesies,13162.06
2024,1,9,9,7,Kernel Wealth,28077.64
2024,1,9,9,7,Stake,7352.98
2024,1,9,9,7,InvestNow,24283.29
2024,1,9,17,49,Sharesies,13234.97
2024,1,9,17,49,Kernel Wealth,28077.64
2024,1,9,17,50,Stake,7370.16
2024,1,9,17,50,InvestNow,24422.45
2024,1,10,8,54,Sharesies,13242.62
2024,1,10,8,54,Kernel Wealth,28358.64
2024,1,10,8,54,Stake,7494.75
2024,1,10,8,54,InvestNow,24458.02
2024,1,10,9,22,Sharesies,13227.03
2024,1,10,9,22,Kernel Wealth,28358.64
2024,1,10,9,22,Stake,7487.54
2024,1,10,9,22,InvestNow,24458.02
2024,1,10,17,23,Sharesies,13210.88
2024,1,10,17,23,Kernel Wealth,28358.64
2024,1,10,17,24,Stake,7481.53
2024,1,10,17,24,InvestNow,24496.28
